昵称,点赞数,时间,评论
东少,121,2025-06-15 15:26:52,@[捂脸][捂脸][捂脸]
此去半生,0,2025-06-15 21:51:08,用的 渝州 也要加入
落魄山老厨子,1257,2025-06-12 23:50:01,加州太乱了，还好我在泸州，你们在哪个州[看]
小骆先生,0,2025-06-15 17:25:59,黄金有望突破900[偷笑]
布布,1,2025-06-15 21:57:05,还好美国有个特朗普[捂脸][捂脸][捂脸]
盐盐,0,2025-06-15 19:50:44,在吹德充斯？[呲牙]
白日梦长,1702,2025-06-12 22:26:00,我正在加州零元购呢
方舟探亚庇🏝️,1,2025-06-15 21:41:42,加州太乱了 还好我在沙巴州[尬笑]
对✓对✓对✓,625,2025-06-12 22:10:15,纽森一脸正气[赞]面由心生[玫瑰]
🏸热浪羽·周教练,4,2025-06-13 18:52:14,我是真在乐山矶[大哭]
@川川吖,5027,2025-06-06 09:04:34,啊啊啊啊！！！大集合啦！！！都给《临江仙》留下一个爆🔥字！！！
Starry.鹿,0,2025-06-15 20:47:15,在学校抖音刷到了几次这个视频，太开心了
重庆小红帽,0,2025-06-06 23:37:41,在哪播
니,3,2025-06-06 21:19:22,临江仙在哪个平台放的，好久没追剧了
闪闪惹人爱,1878,2025-06-06 09:08:28,我的天哪，这简介！虐死人不偿命[捂脸][捂脸][捂脸]
叮叮猫儿,18,2025-06-06 21:58:19,六集都看完了我现在是这个世界上最孤独的人[流泪]
幸运啦,341,2025-06-06 21:46:36,看不了 高考了 今年就不祝福你们了 到我了[流泪][流泪][流泪][流泪]
卓别林,24,2025-06-06 20:52:11,我的朋友圈宣发[送心]
八点半🍒,5,2025-06-06 10:13:21,为了看曾舜晞白鹿 充了个会员[害羞]
Yik—,318,2025-06-06 11:24:11,看不了 明天高考[泪奔]
鱿鱼由于有雨忧郁,0,2025-05-30 21:21:57,古代马蓉
♥梧桐♥,2430,2025-04-21 19:11:33,截图了好几次，才截到了，怎么样？吓人吧[捂脸]
毛毛，冲吖,105,2025-05-24 16:22:43,突然就想到了这位女侠[捂脸][捂脸][捂脸]
42,8729,2025-04-21 19:27:27,我有一计，大郎被焖的时候提前不动了，装死，岂不能活[捂脸]
布丁爸,192,2025-05-18 17:14:33,今天去饭店吃饭，看见一个女生给一个男孩儿剥虾，好羡慕！我心想要是我老婆就好了，走近一看真是我老婆。
胜哥,87,2025-05-26 22:51:12,看完这个视频，我哭了，我跟我老婆离婚3年了，她还是一如既往的关心我、在乎我，我们村里一死人，她就到处打听是不是我[流泪][流泪][流泪]
斌斌🙈,641,2025-04-21 23:10:29,卖梨的要不多事儿，武大还死不了，武松都说了，出了什么事儿都要忍着，等他回来…[泣不成声][泣不成声][泣不成声]
上官晓燕,325,2025-04-21 22:34:24,我的大郎你在哪啊[奸笑]我来喂你吃药了[不你不想]，，，
yuanAABB,8,2025-05-28 21:16:10,大郎。真厉害了，好多唇印。[偷笑][偷笑][偷笑]
东炎哥哥,334,2025-04-21 22:02:15,武大记住了，都是因为这小子[捂脸]要没他……
༒,89966,2025-05-24 12:40:48,不是，我仔细看了一遍又一遍，不敢置信的发现了这是邓超
心绪,0,2025-06-15 21:27:43,这个小说我好像看过，但是忘记叫什么了
秋竹,1885,2025-05-29 18:19:15,邓超会不会在鲨人前跟对方说：gogogo 向地狱出发咯~
乂,49025,2025-05-24 19:36:00,其实邓超正剧的演技才是真的可以，演喜剧反而烂片一堆
小苏打,0,2025-06-15 21:30:37,心理罪那五本书真的是经典，特别是暗河，当时根本没想到怎么能赢
长风（国服小乔安琪拉）,5816,2025-05-27 00:51:55,[流泪]我真不想成为光
拔丝方便面,2217,2025-05-25 21:56:52,看过两遍，感觉还是感觉暗河最震撼，看完之后感觉浑身冷嗖嗖的，孤立无援的感觉
旋转的锅包肉,0,2025-06-15 21:39:57,怎么好像有个韩剧剧情是这样
霸气猫猫侠,6237,2025-05-26 19:40:47,书里方木被打个半死，泡福尔马林，方木把自己有指甲盖里皮肤组织的手指头咬掉，吐进自己提前套在自己舌头上的避孕套，然后吞进肚子里
无冶,4993,2025-05-27 14:11:07,城市之光这系列的书，可以去看一下，老治愈了，主角方木认识的人，朋友，同事，亲人，要么是凶手，要么全被凶手弄死[憨笑]
用户1861459590983,3,2025-06-07 09:58:39,强烈建议除了主角  其它配角用些新人，那样会显得真实许多！
sy（互关互赞）,1,2025-06-14 12:15:14,剧名是啥啊，求告知
用户7459482325645,4,2025-05-15 21:07:20,秒点赞串门引流量
用户9748678285470,0,2025-05-23 14:33:55,因为许红豆是淄博人，所以很实在
哇哇到处跑🐾,1,2025-06-12 23:07:46,刷到我家柏全演的弟弟了hhh[勾引]
破而后立-小叮当,1,2025-06-12 17:23:06,刘亦菲真的漂亮
江西恒耀环保科技有限公司,0,2025-06-05 11:40:30,00后江西把妹王申请出战
视频好物（凤巢严选）,0,2025-06-15 00:35:07,刘亦菲这演技绝了，看着看着就泪目了😭 每一帧都是满满的情感啊
小兮,0,2025-06-08 14:38:01,有没有同感
小毛是猴子,1,2025-05-19 02:58:10,才发现弟弟是唐探里面的林默
